DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
492,591.88,591.999,591.75,591.82,3050
504,591.99,592.0769,591.94,592.02,1500
516,591.924,591.924,591.924,591.924,100
528,592.36,592.46,591.949,591.949,8545
540,592.43,592.5019,592.18,592.23,4294
552,592.53,592.65,592.44,592.5,1800
564,592.42,592.56,592.42,592.56,200
576,592.8,592.91,592.49,592.49,5530
588,592.82,592.82,592.8,592.8,277
600,592.79,592.95,592.74,592.78,1345
612,592.81,592.81,592.64,592.76,2310
624,592.64,592.89,592.64,592.6815,3235
636,592.8,592.83,592.68,592.68,1346
648,592.79,592.87,592.73,592.82,1300
660,592.8299,592.8299,592.729,592.729,998
672,592.8,592.8,592.8,592.8,100
684,592.81,592.91,592.77,592.77,2934
696,592.85,593,592.85,592.94,2250
708,592.97,592.97,592.89,592.95,1768
720,593.1,593.3,592.96,592.96,5699
732,593.46,593.47,593.27,593.29,4543
744,593.25,593.41,593.25,593.281,1439
756,593.35,593.35,593.2001,593.2001,350
768,593.47,593.5,593.3274,593.3274,557
780,593.7099,593.74,593.41,593.5,5663
792,593.91,593.91,593.61,593.8,1800
804,593.65,593.78,593.63,593.73,400
816,593.63,593.77,593.63,593.7,600
828,593.72,593.8,593.67,593.75,2000
840,593.865,593.94,593.72,593.72,2550
852,593.99,594,593.82,593.85,1520
864,593.91,594.05,593.83,593.99,7541
876,593.86,594.04,593.85,593.99,7445
888,593.8,594.02,593.8,593.87,9500
900,593.69,594,593.69,593.8,8947
912,593.39,593.72,593.25,593.61,9300
924,593.35,593.3601,593.1,593.3601,4339
936,593.14,593.25,593.1,593.11,2100
948,593,593.32,592.98,593.27,2200
960,593.35,593.35,592.95,592.95,1382
972,593.005,593.1999,593,593.11,1200
984,593.035,593.06,592.74,593.06,1900
996,593.25,593.25,593,593.0499,1100
a1411153560,593.21,593.28,593.2076,593.2076,900
12,593.39,593.4,593.14,593.19,1900
24,593.36,593.5,593.32,593.5,2200
36,593.4,593.5,593.33,593.39,2870
48,593.4,593.4,593.39,593.4,400
60,593.47,593.48,593.43,593.43,1600
72,593.56,593.57,593.46,593.48,4884
84,593.63,593.63,593.589,593.63,800
96,593.42,593.63,593.41,593.63,1300
108,593.34,593.55,593.34,593.55,600
120,593.29,593.47,593.25,593.46,5400
132,593,593.38,593,593.26,7700
144,592.93,593.34,592.71,592.91,4724
156,592.56,593.09,592.551,592.81,9037
168,592.35,592.63,592.27,592.47,3677
180,592.5,592.5,592.14,592.25,3508
192,591.98,592.5,591.95,592.5,6900
204,591.87,592.05,591.8,592.035,4899
216,591.61,591.95,591.39,591.87,8279
228,591.56,591.63,591.4,591.53,10941
240,591.48,591.61,591.34,591.61,1300
252,591.35,591.48,591.3,591.37,4035
264,591.63,591.75,591.242,591.38,5800
276,591.69,591.75,591.6,591.62,1400
288,591.69,591.74,591.51,591.655,3100
300,591.95,592,591.74,591.74,3980
312,592.01,592.05,591.78,591.95,3563
324,592.15,592.15,592,592.09,2600
336,591.79,592.18,591.768,592.11,5900
348,592.13,592.2,591.815,591.815,4840
360,592.24,592.24,592.06,592.14,2102
372,592.11,592.2,592.03,592.19,5273
384,592.14,592.17,592.03,592.11,4420
396,592.36,592.38,592.14,592.17,4840
408,592.24,592.31,592,592.26,2200
420,592.53,592.56,592.2,592.24,11001
432,592.63,592.63,592.47,592.61,2600
444,592.6,592.65,592.39,592.49,6261
456,592.6097,592.69,592.47,592.64,9666
468,592.77,592.89,592.62,592.62,4950
480,592.73,593.16,592.73,592.84,5361
492,592.9401,593.02,592.66,592.66,5294
504,593.12,593.24,592.94,592.94,7041
516,593.21,593.28,593.12,593.12,5925
528,593.4,593.4,593.16,593.24,6737
540,593.72,593.77,593.42,593.64,11454
552,594.015,594.17,593.67,593.8,11577
564,594.19,594.3,593.93,594.08,10137
576,594.135,594.19,593.94,594.17,6000
588,594.03,594.2,593.75,594.2,8850
600,593.81,594.17,593.81,593.95,7290
612,593.81,593.87,593.69,593.85,5056
624,593.86,594.03,593.72,593.87,12992
636,594.04,594.17,593.71,594.01,19315
648,596.01,596.48,593.87,594.03,118373
